NUMERO_APROVACAO_CARTAO|PARCELAS_CARTAO|TICKET|DATA_VENDA|DESC_TIPO_PGTO|ADQUIRENTE|FORMA_PAGAMENTO|NOME_LOJA|FRANQUIA|PRACA|CIDADE|VALOR_BRUTO|VALOR_LIQUIDO|PORCENTAGEM
75954|12|91721|2023-07-22|Venda|PagTudo|DEBITO PARCELADO|Sportify|PrimeZone|Serra Gaúcha|São Paulo|398,92|387,70|2,81
82601|4|22123|2022-06-05|Venda|OnlinePay|DEBITO PARCELADO|Gourmet Haven|PrimeZone|Serra Gaúcha|Salvador|801,60|781,52|2,51
36304|10|92866|2022-10-17|Venda|CartaoMais|PIX|Gourmet Haven|UrbanBlend|Litoral Norte|Fortaleza|707,70|691,60|2,28
24754|3|99747|2023-08-02|Venda|PixPay|CREDITO|DigiNation|PrimeZone|Capital|Curitiba|1.951,35|1.902,19|2,52
55707|3|91784|2023-08-05|Venda|PagTudo|DEBITO A VISTA|Pet Paradise|InovaStore|Interior de São Paulo|Belo Horizonte|2.055,17|2.012,61|2,07
59491|11|14891|2022-12-01|Venda|SuperPay|DEBITO A VISTA|Gourmet Haven|EcoMart|Litoral Norte|Brasília|1.215,53|1.188,88|2,19
10256|7|89837|2023-07-29|Venda|SuperPay|DEBITO A VISTA|DigiNation|EcoMart|Litoral Norte|Belo Horizonte|1.481,52|1.460,47|1,42
12619|10|60197|2023-08-09|Venda|SuperPay|PIX|Cosmo Trends|InovaStore|Capital|Rio de Janeiro|1.123,85|1.103,97|1,77
66379|10|67462|2022-10-23|Venda|SuperPay|DEBITO A VISTA|Vintage Charm|InovaStore|Serra Gaúcha|Rio de Janeiro|1.665,53|1.645,96|1,18
11614|9|71688|2023-01-02|Venda|CartaoMais|PIX|Green Valley|UrbanBlend|Serra Gaúcha|Curitiba|2.209,44|2.172,86|1,66
82317|6|25147|2022-12-24|Venda|OnlinePay|CREDITO|TechHub|PrimeZone|Serra Gaúcha|Fortaleza|1.748,84|1.706,19|2,44
81762|1|19187|2022-05-02|Venda|PagTudo|DEBITO A VISTA|DigiNation|PrimeZone|Serra Gaúcha|São Paulo|1.626,72|1.584,82|2,58
40193|6|25424|2022-03-20|Venda|PagTudo|DEBITO A VISTA|Green Valley|EcoMart|Serra Gaúcha|São Paulo|967,71|938,87|2,98
40545|2|94093|2023-11-11|Venda|SuperPay|CREDITO|Cosmo Trends|EcoMart|Litoral Norte|Recife|1.812,14|1.760,09|2,87
21385|12|96938|2022-09-17|Venda|SuperPay|DEBITO A VISTA|TechHub|UrbanBlend|Interior de São Paulo|Campinas|737,42|718,44|2,57
91196|7|83042|2024-01-16|Venda|SuperPay|DEBITO A VISTA|Pet Paradise|UrbanBlend|Capital|Curitiba|1.362,26|1.337,31|1,83
77757|7|57745|2022-06-01|Venda|CartaoMais|PIX|Green Valley|PrimeZone|Litoral Norte|Salvador|2.135,15|2.073,14|2,90
14550|6|27044|2023-09-28|Venda|SuperPay|DEBITO A VISTA|Sportify|InovaStore|Capital|Rio de Janeiro|680,48|661,67|2,76
19099|12|29459|2022-07-12|Venda|CartaoMais|CREDITO|TechHub|UrbanBlend|Interior de São Paulo|Campinas|1.427,09|1.386,50|2,84
49514|7|62600|2023-03-31|Venda|PixPay|PIX|Pet Paradise|PrimeZone|Capital|Campinas|2.004,32|1.956,73|2,37
34181|1|71779|2022-10-15|Venda|CartaoMais|DEBITO PARCELADO|Sportify|EcoMart|Capital|Recife|1.998,19|1.962,11|1,81
72330|7|48388|2023-06-09|Venda|SuperPay|PIX|Golden Harvest|UrbanBlend|Interior de São Paulo|Salvador|1.231,77|1.197,57|2,78
